                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0222,                 3.1142,                 1.2902,                0.25927,                0.67788,                0.42154,                0.31067,                0.98085,                 3.2641,                 1.2139,             0.00021109,             0.00021109,             0.00021109
                      2,                0.89129,                 1.9652,                 1.2317,                0.42596,                0.59102,                0.48469,                 0.3596,                 1.0414,                 2.1135,                 1.2752,             0.00043286,             0.00043286,             0.00043286
                      3,                0.97233,                 1.7681,                 1.2715,                0.49118,                0.36687,                0.38038,                0.22567,                 1.2203,                  2.745,                 1.5347,             0.00065419,             0.00065419,             0.00065419
                      4,                0.94893,                 1.5783,                 1.2084,                0.57795,                0.49538,                0.50986,                0.33993,                 1.3676,                 1.9805,                 1.5233,             0.00087508,             0.00087508,             0.00087508
                      5,                 1.0066,                 1.5508,                 1.2582,                 0.4432,                0.32936,                0.30199,                0.20427,                 1.4333,                 2.7204,                 1.6491,              0.0010955,              0.0010955,              0.0010955
                      6,                 1.0013,                 1.4321,                 1.2746,                0.51608,                0.38638,                0.43666,                0.28415,                 1.4944,                 2.7705,                  1.751,              0.0011055,              0.0011055,              0.0011055
                      7,                0.98332,                 1.3016,                 1.2243,                0.32638,                 0.4233,                 0.2891,                0.14479,                 1.9743,                 3.6277,                 2.2842,              0.0011055,              0.0011055,              0.0011055
                      8,                0.95632,                  1.258,                 1.2033,                0.60198,                0.53139,                0.56101,                0.30968,                 1.6364,                 2.0674,                 1.9023,              0.0011044,              0.0011044,              0.0011044
                      9,                 1.0015,                 1.2081,                 1.2186,                0.47572,                0.52113,                 0.5317,                0.29825,                 1.4022,                 2.1122,                 1.5838,              0.0011033,              0.0011033,              0.0011033
                     10,                0.96042,                 1.1777,                 1.2217,                0.63818,                0.48078,                0.53069,                0.33486,                 1.3893,                 2.0421,                 1.7552,              0.0011022,              0.0011022,              0.0011022
                     11,                 1.1163,                 1.3431,                 1.4446,                0.61993,                0.49036,                0.51037,                0.31537,                 1.4044,                 2.0004,                 1.6675,              0.0011011,              0.0011011,              0.0011011
                     12,                0.97515,                  1.214,                 1.2545,                 0.5975,                0.57405,                0.64188,                0.46569,                 1.1372,                 1.4629,                  1.377,                 0.0011,                 0.0011,                 0.0011
                     13,                0.91698,                  1.159,                 1.1826,                 0.7462,                0.63841,                0.71076,                0.52056,                  1.175,                  1.475,                 1.4066,              0.0010989,              0.0010989,              0.0010989
                     14,                0.93006,                 1.1398,                 1.1866,                0.62742,                0.63641,                0.60747,                0.42472,                 1.0834,                 1.8191,                 1.2923,              0.0010978,              0.0010978,              0.0010978
                     15,                0.84647,                 1.0518,                 1.1682,                0.71802,                0.59049,                0.65635,                 0.4378,                 1.1971,                 1.4854,                 1.4056,              0.0010967,              0.0010967,              0.0010967
                     16,                0.91719,                 1.1359,                 1.2056,                0.52432,                 0.5721,                 0.5698,                0.39984,                 1.1866,                 1.8978,                 1.4241,              0.0010956,              0.0010956,              0.0010956
                     17,                 0.9143,                 1.0472,                 1.1843,                0.76819,                0.54195,                 0.6675,                0.50696,                 1.0904,                 1.3291,                 1.3226,              0.0010945,              0.0010945,              0.0010945
                     18,                 0.8692,                0.99843,                 1.1665,                0.73818,                0.68894,                0.75914,                0.53772,                 1.2263,                 1.4046,                 1.4908,              0.0010934,              0.0010934,              0.0010934
                     19,                0.86797,                 0.9694,                 1.1715,                0.67262,                0.71249,                0.75081,                0.52585,                 1.1361,                 1.2252,                 1.3284,              0.0010923,              0.0010923,              0.0010923
                     20,                0.86206,                 1.0431,                 1.1594,                0.78114,                0.72592,                 0.8376,                0.63712,                 1.0114,                 1.0833,                 1.2598,              0.0010912,              0.0010912,              0.0010912
                     21,                 0.8491,                0.96082,                 1.1611,                0.82356,                0.69307,                0.80247,                0.62241,                 1.0174,                 1.1607,                 1.3165,              0.0010901,              0.0010901,              0.0010901
                     22,                0.82503,                0.94396,                 1.1326,                 0.8199,                0.80881,                0.85271,                0.65193,                 1.0391,                0.95519,                 1.3187,               0.001089,               0.001089,               0.001089
                     23,                0.82294,                0.87298,                 1.1501,                0.75478,                0.81352,                0.86248,                0.68344,                 1.0159,                 1.1429,                  1.265,              0.0010879,              0.0010879,              0.0010879
                     24,                0.82265,                0.87366,                 1.1224,                0.75779,                0.79999,                0.85559,                0.65089,                 1.0152,                 0.9696,                 1.2617,              0.0010868,              0.0010868,              0.0010868
                     25,                0.83036,                0.88347,                 1.1384,                0.82223,                0.70243,                0.82555,                0.62581,                 1.0673,                 1.0562,                 1.2876,              0.0010857,              0.0010857,              0.0010857
                     26,                0.82377,                0.90324,                 1.1568,                0.84427,                0.69369,                0.83586,                0.62131,                 1.0431,                 1.0839,                 1.2738,              0.0010846,              0.0010846,              0.0010846
                     27,                0.80818,                0.85036,                 1.1169,                0.85199,                0.69225,                0.80639,                0.62356,                  1.063,                 1.0477,                 1.3082,              0.0010835,              0.0010835,              0.0010835
                     28,                0.80785,                0.85655,                 1.1121,                0.83662,                0.72758,                0.83249,                0.64674,                 1.0196,                 1.0281,                 1.2781,              0.0010824,              0.0010824,              0.0010824
                     29,                0.78534,                0.87582,                  1.091,                0.71723,                0.67046,                0.75565,                0.58168,                 1.0501,                 1.2128,                 1.3214,              0.0010813,              0.0010813,              0.0010813
                     30,                0.82788,                0.82633,                 1.1183,                 0.8464,                0.75156,                0.83578,                0.64557,                 1.0163,                 1.0338,                 1.2765,              0.0010802,              0.0010802,              0.0010802
                     31,                0.82093,                0.84596,                 1.1287,                0.69948,                0.76151,                0.79093,                0.59237,                 1.0525,                 1.2563,                 1.2907,              0.0010791,              0.0010791,              0.0010791
                     32,                0.79336,                0.86086,                   1.12,                0.82756,                0.76724,                0.84858,                0.65501,                 1.0132,                0.99859,                 1.2775,               0.001078,               0.001078,               0.001078
                     33,                0.77243,                0.79857,                 1.1073,                0.79527,                0.70926,                0.79602,                0.61667,                 1.0305,                   1.08,                 1.3217,              0.0010769,              0.0010769,              0.0010769
                     34,                0.81107,                0.84043,                 1.1183,                0.77276,                 0.7683,                0.83991,                0.64893,                 0.9929,                 0.9789,                 1.2801,              0.0010758,              0.0010758,              0.0010758
                     35,                  0.724,                0.77058,                 1.0669,                 0.8205,                 0.7461,                0.84887,                0.66997,                 1.0081,                0.97751,                  1.286,              0.0010747,              0.0010747,              0.0010747
                     36,                0.77196,                0.79085,                 1.0969,                0.80116,                0.75225,                0.78765,                0.61581,                0.99566,                0.98118,                 1.2516,              0.0010736,              0.0010736,              0.0010736
                     37,                0.74024,                0.77981,                  1.092,                0.76391,                0.77094,                0.83542,                0.65649,                 1.0032,                 1.0403,                  1.255,              0.0010725,              0.0010725,              0.0010725
                     38,                0.79501,                0.77872,                 1.1099,                0.76257,                0.85091,                0.87588,                0.69301,                0.98963,                0.93953,                 1.2331,              0.0010714,              0.0010714,              0.0010714
                     39,                0.77493,                0.82935,                 1.0976,                0.82086,                0.63619,                0.76773,                  0.595,                 1.0573,                 1.1404,                 1.3133,              0.0010703,              0.0010703,              0.0010703
                     40,                0.77611,                 0.8517,                 1.0954,                  0.783,                0.77689,                0.83204,                0.65761,                0.99363,                0.97087,                 1.2707,              0.0010692,              0.0010692,              0.0010692
                     41,                0.76093,                 0.7895,                 1.0981,                0.73688,                0.75939,                0.78325,                0.61856,                0.99537,                 1.0276,                 1.2636,              0.0010681,              0.0010681,              0.0010681
                     42,                 0.7264,                0.81346,                 1.0693,                0.77124,                0.75206,                0.80588,                0.62317,                 1.0144,                 1.0057,                 1.2774,               0.001067,               0.001067,               0.001067
                     43,                0.81632,                  0.967,                 1.1602,                0.71647,                0.73165,                0.77424,                0.59796,                 1.0478,                 1.0186,                 1.2813,              0.0010659,              0.0010659,              0.0010659
                     44,                0.71483,                0.76825,                 1.0765,                0.71066,                0.78538,                0.81128,                0.63244,                 1.0331,                 1.0688,                 1.2772,              0.0010648,              0.0010648,              0.0010648
                     45,                0.71745,                0.73498,                 1.0718,                0.77512,                0.75472,                0.81649,                0.64315,                 0.9842,                 1.0373,                 1.2535,              0.0010637,              0.0010637,              0.0010637
                     46,                0.81342,                0.80562,                 1.1705,                0.77054,                0.84026,                0.85985,                0.65838,                0.97724,                0.94829,                 1.2263,              0.0010626,              0.0010626,              0.0010626
                     47,                0.73104,                0.71894,                 1.0755,                0.74583,                0.77941,                0.84337,                0.66125,                0.98852,                0.96539,                  1.233,              0.0010615,              0.0010615,              0.0010615
                     48,                0.71525,                0.74976,                 1.0728,                0.74417,                0.75833,                0.76843,                0.56373,                 1.0957,                 1.1288,                 1.3902,              0.0010604,              0.0010604,              0.0010604
